slurm-3473684.out:Memory, Processes, 32, Rank, 25, vMem, 760012 KB, pMem, 369536 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 26, vMem, 759636 KB, pMem, 368964 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 7, vMem, 759784 KB, pMem, 369292 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 23, vMem, 759232 KB, pMem, 368592 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 15, vMem, 757772 KB, pMem, 367296 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 19, vMem, 759288 KB, pMem, 368700 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 31, vMem, 756524 KB, pMem, 366004 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 3, vMem, 758288 KB, pMem, 367884 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 27, vMem, 759672 KB, pMem, 369056 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 8, vMem, 758332 KB, pMem, 367864 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 9, vMem, 759648 KB, pMem, 369256 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 10, vMem, 758044 KB, pMem, 367624 KB
slurm-3473684.out:Memory, Processes, 32, Rank, 11, vMem, 759516 KB, pMem, 369080 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 0, vMem, 636664 KB, pMem, 229836 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 6, vMem, 636664 KB, pMem, 229568 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 4, vMem, 637656 KB, pMem, 230832 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 2, vMem, 636004 KB, pMem, 231224 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 16, vMem, 636512 KB, pMem, 229604 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 18, vMem, 636828 KB, pMem, 229916 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 20, vMem, 635796 KB, pMem, 228964 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 22, vMem, 637140 KB, pMem, 230308 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 48, vMem, 636616 KB, pMem, 229600 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 50, vMem, 637756 KB, pMem, 230808 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 52, vMem, 636864 KB, pMem, 229912 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 54, vMem, 637312 KB, pMem, 230288 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 1, vMem, 637220 KB, pMem, 232204 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 5, vMem, 637484 KB, pMem, 230600 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 7, vMem, 636680 KB, pMem, 229620 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 3, vMem, 636200 KB, pMem, 229380 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 17, vMem, 636284 KB, pMem, 229380 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 49, vMem, 636360 KB, pMem, 229432 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 21, vMem, 636888 KB, pMem, 230020 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 53, vMem, 636912 KB, pMem, 229968 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 23, vMem, 637080 KB, pMem, 230176 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 19, vMem, 637692 KB, pMem, 230836 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 51, vMem, 636576 KB, pMem, 229624 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 55, vMem, 636440 KB, pMem, 229488 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 32, vMem, 636676 KB, pMem, 229728 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 34, vMem, 637312 KB, pMem, 230284 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 36, vMem, 637868 KB, pMem, 230916 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 38, vMem, 636220 KB, pMem, 229200 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 33, vMem, 637280 KB, pMem, 230324 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 37, vMem, 636228 KB, pMem, 229280 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 39, vMem, 637352 KB, pMem, 230324 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 35, vMem, 636300 KB, pMem, 229348 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 8, vMem, 637508 KB, pMem, 230668 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 10, vMem, 636136 KB, pMem, 229280 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 12, vMem, 637512 KB, pMem, 230656 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 14, vMem, 636688 KB, pMem, 229740 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 9, vMem, 636828 KB, pMem, 229924 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 15, vMem, 637400 KB, pMem, 230564 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 13, vMem, 636672 KB, pMem, 229728 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 11, vMem, 637388 KB, pMem, 230548 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 40, vMem, 637648 KB, pMem, 230708 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 42, vMem, 636536 KB, pMem, 229596 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 44, vMem, 636024 KB, pMem, 229104 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 46, vMem, 636588 KB, pMem, 229660 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 47, vMem, 637348 KB, pMem, 230416 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 41, vMem, 636216 KB, pMem, 229208 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 45, vMem, 636840 KB, pMem, 229904 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 43, vMem, 638012 KB, pMem, 231068 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 56, vMem, 637356 KB, pMem, 230392 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 58, vMem, 636412 KB, pMem, 229588 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 60, vMem, 636672 KB, pMem, 231828 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 62, vMem, 636832 KB, pMem, 229860 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 57, vMem, 637744 KB, pMem, 230860 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 63, vMem, 636452 KB, pMem, 229496 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 59, vMem, 636100 KB, pMem, 231152 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 61, vMem, 636764 KB, pMem, 231904 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 24, vMem, 637064 KB, pMem, 230248 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 26, vMem, 637256 KB, pMem, 230320 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 28, vMem, 637012 KB, pMem, 230108 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 30, vMem, 636572 KB, pMem, 229748 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 25, vMem, 637444 KB, pMem, 230536 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 31, vMem, 636288 KB, pMem, 229504 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 27, vMem, 637072 KB, pMem, 230248 KB
slurm-3473685.out:Memory, Processes, 64, Rank, 29, vMem, 637472 KB, pMem, 230576 KB
slurm-3473686.out:Memory, Processes, 2, Rank, 0, vMem, 4756264 KB, pMem, 3144692 KB
slurm-3473686.out:Memory, Processes, 2, Rank, 1, vMem, 4756020 KB, pMem, 3086268 KB
slurm-3473687.out:Memory, Processes, 4, Rank, 0, vMem, 2626252 KB, pMem, 2235840 KB
slurm-3473687.out:Memory, Processes, 4, Rank, 1, vMem, 2624412 KB, pMem, 2233964 KB
slurm-3473687.out:Memory, Processes, 4, Rank, 2, vMem, 2624412 KB, pMem, 2233904 KB
slurm-3473687.out:Memory, Processes, 4, Rank, 3, vMem, 2622640 KB, pMem, 2232196 KB
slurm-3473688.out:Memory, Processes, 8, Rank, 0, vMem, 1566932 KB, pMem, 1160064 KB
slurm-3473688.out:Memory, Processes, 8, Rank, 1, vMem, 1569480 KB, pMem, 1162600 KB
slurm-3473688.out:Memory, Processes, 8, Rank, 2, vMem, 1566020 KB, pMem, 1159068 KB
slurm-3473688.out:Memory, Processes, 8, Rank, 3, vMem, 1567744 KB, pMem, 1160888 KB
slurm-3473688.out:Memory, Processes, 8, Rank, 4, vMem, 1567084 KB, pMem, 1160248 KB
slurm-3473688.out:Memory, Processes, 8, Rank, 5, vMem, 1568012 KB, pMem, 1161104 KB
slurm-3473688.out:Memory, Processes, 8, Rank, 6, vMem, 1567452 KB, pMem, 1160496 KB
slurm-3473688.out:Memory, Processes, 8, Rank, 7, vMem, 1566564 KB, pMem, 1159660 KB
slurm-3473689.out:Memory, Processes, 2, Rank, 0, vMem, 4766812 KB, pMem, 2945756 KB
slurm-3473689.out:Memory, Processes, 2, Rank, 1, vMem, 4764952 KB, pMem, 2965964 KB
slurm-3473690.out:Memory, Processes, 4, Rank, 0, vMem, 2638216 KB, pMem, 2255900 KB
slurm-3473690.out:Memory, Processes, 4, Rank, 2, vMem, 2635984 KB, pMem, 2253628 KB
slurm-3473690.out:Memory, Processes, 4, Rank, 1, vMem, 2635988 KB, pMem, 2253596 KB
slurm-3473690.out:Memory, Processes, 4, Rank, 3, vMem, 2634700 KB, pMem, 2252272 KB
slurm-3473691.out:Memory, Processes, 8, Rank, 3, vMem, 1571484 KB, pMem, 1180948 KB
slurm-3473691.out:Memory, Processes, 8, Rank, 2, vMem, 1569876 KB, pMem, 1179272 KB
slurm-3473691.out:Memory, Processes, 8, Rank, 0, vMem, 1570376 KB, pMem, 1179772 KB
slurm-3473691.out:Memory, Processes, 8, Rank, 4, vMem, 1570788 KB, pMem, 1180184 KB
slurm-3473691.out:Memory, Processes, 8, Rank, 6, vMem, 1571196 KB, pMem, 1180584 KB
slurm-3473691.out:Memory, Processes, 8, Rank, 7, vMem, 1570324 KB, pMem, 1179716 KB
slurm-3473691.out:Memory, Processes, 8, Rank, 1, vMem, 1573180 KB, pMem, 1182516 KB
slurm-3473691.out:Memory, Processes, 8, Rank, 5, vMem, 1571376 KB, pMem, 1180840 KB
slurm-3473693.out:Memory, Processes, 16, Rank, 0, vMem, 1046704 KB, pMem, 639772 KB
slurm-3473693.out:Memory, Processes, 16, Rank, 1, vMem, 1048004 KB, pMem, 641048 KB
slurm-3473693.out:Memory, Processes, 16, Rank, 2, vMem, 1048308 KB, pMem, 641304 KB
slurm-3473693.out:Memory, Processes, 16, Rank, 3, vMem, 1049456 KB, pMem, 642452 KB
slurm-3473693.out:Memory, Processes, 16, Rank, 4, vMem, 1047488 KB, pMem, 642600 KB
slurm-3473693.out:Memory, Processes, 16, Rank, 6, vMem, 1049536 KB, pMem, 642604 KB
slurm-3473693.out:Memory, Processes, 16, Rank, 7, vMem, 1047232 KB, pMem, 640304 KB
slurm-3473693.out:Memory, Processes, 16, Rank, 5, vMem, 1047504 KB, pMem, 640572 KB
slurm-3473693.out:Memory, Processes, 16, Rank, 8, vMem, 1047980 KB, pMem, 640976 KB
slurm-3473693.out:Memory, Processes, 16, Rank, 9, vMem, 1047808 KB, pMem, 640884 KB
slurm-3473693.out:Memory, Processes, 16, Rank, 10, vMem, 1049456 KB, pMem, 642448 KB
