slurm-1557612.out:(304) Rank: 8, Memory: vMem, 479964 KB, pMem 75108 KB
slurm-1557612.out:(304) Rank: 9, Memory: vMem, 479440 KB, pMem 72464 KB
slurm-1557613.out:(304) Rank: 0, Memory: vMem, 706296 KB, pMem 334088 KB
slurm-1557613.out:(304) Rank: 1, Memory: vMem, 457996 KB, pMem 84668 KB
slurm-1557613.out:(304) Rank: 2, Memory: vMem, 457828 KB, pMem 84344 KB
slurm-1557613.out:(304) Rank: 3, Memory: vMem, 457404 KB, pMem 84220 KB
slurm-1557614.out:(304) Rank: 0, Memory: vMem, 709620 KB, pMem 329468 KB
slurm-1557614.out:(304) Rank: 1, Memory: vMem, 425380 KB, pMem 42672 KB
slurm-1557614.out:(304) Rank: 2, Memory: vMem, 460340 KB, pMem 77380 KB
slurm-1557614.out:(304) Rank: 3, Memory: vMem, 460356 KB, pMem 77464 KB
slurm-1557614.out:(304) Rank: 4, Memory: vMem, 459844 KB, pMem 76952 KB
slurm-1557614.out:(304) Rank: 5, Memory: vMem, 459712 KB, pMem 77044 KB
slurm-1557614.out:(304) Rank: 6, Memory: vMem, 460024 KB, pMem 77068 KB
slurm-1557614.out:(304) Rank: 7, Memory: vMem, 459432 KB, pMem 76660 KB
slurm-1557615.out:(304) Rank: 0, Memory: vMem, 715476 KB, pMem 325400 KB
slurm-1557615.out:(304) Rank: 1, Memory: vMem, 429144 KB, pMem 38480 KB
slurm-1557615.out:(304) Rank: 10, Memory: vMem, 463076 KB, pMem 74704 KB
slurm-1557615.out:(304) Rank: 11, Memory: vMem, 463300 KB, pMem 72672 KB
slurm-1557615.out:(304) Rank: 12, Memory: vMem, 464348 KB, pMem 73700 KB
slurm-1557615.out:(304) Rank: 13, Memory: vMem, 463160 KB, pMem 72652 KB
slurm-1557615.out:(304) Rank: 14, Memory: vMem, 463156 KB, pMem 72688 KB
slurm-1557615.out:(304) Rank: 15, Memory: vMem, 463080 KB, pMem 72620 KB
slurm-1557615.out:(304) Rank: 2, Memory: vMem, 429216 KB, pMem 38556 KB
slurm-1557615.out:(304) Rank: 3, Memory: vMem, 429216 KB, pMem 38664 KB
slurm-1557615.out:(304) Rank: 4, Memory: vMem, 464600 KB, pMem 73688 KB
slurm-1557615.out:(304) Rank: 5, Memory: vMem, 463312 KB, pMem 72768 KB
slurm-1557615.out:(304) Rank: 6, Memory: vMem, 463464 KB, pMem 74768 KB
slurm-1557615.out:(304) Rank: 7, Memory: vMem, 463384 KB, pMem 74872 KB
slurm-1557615.out:(304) Rank: 8, Memory: vMem, 464152 KB, pMem 73408 KB
slurm-1557615.out:(304) Rank: 9, Memory: vMem, 463076 KB, pMem 72556 KB
slurm-1557616.out:(304) Rank: 0, Memory: vMem, 732300 KB, pMem 328064 KB
slurm-1557616.out:(304) Rank: 1, Memory: vMem, 443620 KB, pMem 36744 KB
slurm-1557616.out:(304) Rank: 10, Memory: vMem, 477356 KB, pMem 70588 KB
slurm-1557616.out:(304) Rank: 11, Memory: vMem, 477364 KB, pMem 72620 KB
slurm-1557616.out:(304) Rank: 12, Memory: vMem, 477356 KB, pMem 70516 KB
slurm-1557616.out:(304) Rank: 13, Memory: vMem, 477432 KB, pMem 70556 KB
slurm-1557616.out:(304) Rank: 14, Memory: vMem, 477360 KB, pMem 70552 KB
slurm-1557616.out:(304) Rank: 15, Memory: vMem, 477504 KB, pMem 70632 KB
slurm-1557616.out:(304) Rank: 16, Memory: vMem, 478640 KB, pMem 71660 KB
slurm-1557616.out:(304) Rank: 17, Memory: vMem, 477356 KB, pMem 70624 KB
slurm-1557616.out:(304) Rank: 18, Memory: vMem, 477428 KB, pMem 70652 KB
slurm-1557616.out:(304) Rank: 19, Memory: vMem, 477504 KB, pMem 70616 KB
slurm-1557616.out:(304) Rank: 2, Memory: vMem, 443620 KB, pMem 36780 KB
slurm-1557616.out:(304) Rank: 20, Memory: vMem, 477352 KB, pMem 70648 KB
slurm-1557616.out:(304) Rank: 21, Memory: vMem, 477356 KB, pMem 70668 KB
slurm-1557616.out:(304) Rank: 22, Memory: vMem, 477352 KB, pMem 70612 KB
slurm-1557616.out:(304) Rank: 23, Memory: vMem, 477420 KB, pMem 70796 KB
slurm-1557616.out:(304) Rank: 24, Memory: vMem, 478632 KB, pMem 71828 KB
slurm-1557616.out:(304) Rank: 25, Memory: vMem, 477356 KB, pMem 70772 KB
slurm-1557616.out:(304) Rank: 26, Memory: vMem, 477360 KB, pMem 70772 KB
slurm-1557616.out:(304) Rank: 27, Memory: vMem, 477436 KB, pMem 70804 KB
slurm-1557616.out:(304) Rank: 28, Memory: vMem, 477360 KB, pMem 70768 KB
slurm-1557616.out:(304) Rank: 29, Memory: vMem, 477356 KB, pMem 70784 KB
slurm-1557616.out:(304) Rank: 3, Memory: vMem, 443464 KB, pMem 36724 KB
slurm-1557616.out:(304) Rank: 30, Memory: vMem, 477432 KB, pMem 72760 KB
slurm-1557616.out:(304) Rank: 31, Memory: vMem, 477452 KB, pMem 70768 KB
slurm-1557616.out:(304) Rank: 4, Memory: vMem, 443544 KB, pMem 36736 KB
